,AT,BP,DT,HU,RN,SL,VB,WD,WL,WS,WT
2017-02-01 00:00:00,23.7,1016.7,,73.0,,32.7,,50.0,107.0,1.5,23.0
2017-02-01 01:00:00,23.5,1017.1,,74.0,,32.7,,58.0,107.0,1.8,23.0
2017-02-01 02:00:00,23.3,1016.9,,75.0,,32.9,,49.0,111.0,1.6,23.1
2017-02-01 03:00:00,23.3,1016.6,,73.0,,33.0,,49.1,125.0,2.3,23.1
2017-02-01 04:00:00,23.3,1016.8,,73.0,,33.0,,48.0,138.0,2.1,23.1
2017-02-01 05:00:00,23.3,1016.6,,73.0,,33.0,,51.0,151.0,1.8.1,23.0
2017-02-01 06:00:00,23.3,1016.3,,73.0,,32.9,,53.0,164.0,1.9,23.0
2017-02-01 07:00:00,22.8,1016.0,,76.0,,32.9,,53.1,164.0,1.8.2,23.0
2017-02-01 08:00:00,22.7,1016.1,,76.0,,32.2,,60.0,158.0,2.4,22.9
2017-02-01 09:00:00,22.6,1016.4,,76.0,,32.1,,59.0,147.0,1.8.3,23.0
2017-02-01 10:00:00,22.9,1016.6,,73.0,,32.1,,87.0,141.0,1.4,23.1
2017-02-01 11:00:00,23.4,1016.9,,70.0,,32.3,,64.0,139.0,2.2,23.2
2017-02-01 12:00:00,24.1,1017.8,,68.0,,32.0,,57.0,137.0,2.1.1,23.4
2017-02-01 13:00:00,25.0,1018.7,,63.0,,31.9,,57.1,142.0,2.1.2,23.5
2017-02-01 14:00:00,25.2,1018.7,,63.0,,32.0,,61.0,159.0,2.4.1,23.5
2017-02-01 15:00:00,26.4,1017.9,,58.0,,32.0,,49.2,175.0,2.7,23.3
2017-02-01 16:00:00,27.2,1017.1,,54.0,,31.9,,59.1,208.0,2.9,23.5
2017-02-01 17:00:00,27.4,1016.4,,54.0,,32.0,,57.2,111.0,2.3.1,23.3
2017-02-01 18:00:00,26.9,1015.9,,56.0,,32.0,,48.1,103.0,2.5,23.1
2017-02-01 19:00:00,27.4,1015.6,,55.0,,32.8,,66.0,905.0,2.5.1,22.9
2017-02-01 20:00:00,26.4,1016.2,,58.0,,32.8,,59.2,167.0,3.2,22.8
2017-02-01 21:00:00,24.7,1016.9,,63.0,,32.8,,55.0,1428.0,3.3,22.7
2017-02-01 22:00:00,24.0,1017.5,,66.0,,32.7,,56.0,134.0,2.4.2,22.7
2017-02-01 23:00:00,23.7,1018.0,,66.0,,32.6,,57.3,1910.0,2.8,22.7
2017-02-02 00:00:00,23.5,1018.5,,67.0,,32.5,,56.0,119.0,2.2,22.7
2017-02-02 01:00:00,23.3,1018.6,,66.0,,32.5,,46.0,112.0,2.3,22.6
2017-02-02 02:00:00,23.3,1018.5,,65.0,,32.5,,49.0,114.0,2.3.1,22.6
2017-02-02 03:00:00,23.3,1018.5,,65.0,,32.5,,56.1,124.0,2.2.1,22.6
2017-02-02 04:00:00,23.2,1018.6,,65.0,,32.5,,58.0,138.0,2.6,22.6
2017-02-02 05:00:00,23.0,1018.3,,65.0,,32.4,,60.0,149.0,1.9,22.6
2017-02-02 06:00:00,22.9,1017.8,,65.0,,32.4,,60.1,162.0,1.7,22.5
