,AT,BP,DT,HU,RN,SL,VB,WD,WL,WS,WT
2017-01-01 00:00:00,24.2,1018.0,,62.0,,33.6,,51.0,135.0,2.3,23.8
2017-01-01 01:00:00,24.1,1018.7,,63.0,,33.7,,46.0,113.0,1.7,23.7
2017-01-01 02:00:00,24.0,1018.7,,64.0,,33.7,,58.0,95.0,2.1,23.6
2017-01-01 03:00:00,23.9,1018.9,,65.0,,33.7,,55.0,87.0,1.4,23.6
2017-01-01 04:00:00,23.6,1018.5,,68.0,,33.7,,51.1,88.0,1.4.1,23.5
2017-01-01 05:00:00,23.7,1018.0,,68.0,,33.7,,51.2,95.0,2.1.1,23.5
2017-01-01 06:00:00,23.7,1017.3,,68.0,,33.5,,41.0,104.0,1.2,23.5
2017-01-01 07:00:00,23.8,1017.0,,67.0,,33.5,,53.0,116.0,1.9,23.4
2017-01-01 08:00:00,23.9,1016.7,,67.0,,33.6,,41.1,132.0,1.8,23.5
2017-01-01 09:00:00,24.0,1017.0,,68.0,,33.7,,46.1,140.0,2.3.1,23.6
2017-01-01 10:00:00,23.9,1017.5,,68.0,,33.7,,63.0,136.0,0.6,23.8
2017-01-01 11:00:00,24.2,1018.2,,67.0,,33.7,,44.0,135.0,1.2.1,24.1
2017-01-01 12:00:00,25.3,1018.9,,65.0,,33.6,,36.0,137.0,1.4.2,24.3
2017-01-01 13:00:00,27.2,1019.2,,58.0,,33.5,,30.0,143.0,1.5,24.3
2017-01-01 14:00:00,27.4,1018.7,,57.0,,33.5,,44.1,152.0,2.8,24.2
2017-01-01 15:00:00,26.9,1018.3,,59.0,,33.4,,43.0,165.0,1.8.1,24.1
2017-01-01 16:00:00,27.3,1017.5,,57.0,,33.4,,50.0,186.0,2.1.2,24.1
2017-01-01 17:00:00,26.4,1016.8,,60.0,,33.5,,59.0,204.0,3.6,23.9
2017-01-01 18:00:00,26.5,1016.2,,59.0,,33.5,,52.0,216.0,3.1,23.9
2017-01-01 19:00:00,26.8,1015.9,,57.0,,33.5,,50.1,83.0,2.1.3,23.9
2017-01-01 20:00:00,25.7,1016.1,,61.0,,33.6,,60.0,809.0,2.0,23.9
2017-01-01 21:00:00,25.5,1016.7,,61.0,,33.6,,54.0,9999.0,1.3,23.9
2017-01-01 22:00:00,25.2,1017.1,,61.0,,33.6,,45.0,9999.0,2.1.4,23.9
2017-01-01 23:00:00,25.1,1017.5,,61.0,,33.6,,46.2,9999.0,1.7.1,23.9
2017-01-02 00:00:00,25.0,1018.0,,61.0,,33.8,,54.0,121.0,1.7,23.9
2017-01-02 01:00:00,24.8,1018.2,,62.0,,33.8,,30.0,103.0,0.8,23.9
2017-01-02 02:00:00,24.5,1018.2,,63.0,,33.8,,74.0,91.0,0.9,23.8
2017-01-02 03:00:00,24.3,1018.0,,64.0,,33.8,,40.0,89.0,1.5,23.8
2017-01-02 04:00:00,24.1,1018.2,,66.0,,33.7,,54.1,96.0,1.8,23.7
2017-01-02 05:00:00,23.9,1018.0,,67.0,,33.7,,109.0,102.0,0.5,23.7
2017-01-02 06:00:00,24.0,1017.2,,67.0,,33.6,,48.0,113.0,1.4,23.7
2017-01-02 07:00:00,23.9,1016.4,,68.0,,33.6,,36.0,127.0,0.6,23.7
2017-01-02 08:00:00,24.2,1016.5,,67.0,,33.7,,64.0,139.0,1.3,23.7
2017-01-02 09:00:00,24.4,1016.5,,66.0,,33.6,,41.0,136.0,0.7,23.7
2017-01-02 10:00:00,23.9,1016.9,,67.0,,33.7,,1.0,135.0,0.3,23.8
2017-01-02 11:00:00,24.0,1017.4,,68.0,,33.6,,80.0,133.0,1.1,23.8
2017-01-02 12:00:00,25.2,1018.2,,65.0,,33.7,,59.0,134.0,1.5.1,24.0
2017-01-02 13:00:00,24.8,1018.7,,67.0,,33.6,,50.0,139.0,2.5,24.1
2017-01-02 14:00:00,25.2,1018.3,,67.0,,33.3,,37.0,150.0,1.0,24.0
2017-01-02 15:00:00,26.2,1017.8,,63.0,,33.4,,74.1,164.0,0.7.1,24.1
2017-01-02 16:00:00,25.9,1017.2,,65.0,,33.4,,60.0,182.0,1.3.1,24.2
2017-01-02 17:00:00,25.3,1016.7,,68.0,,33.4,,63.0,197.0,1.9,24.1
2017-01-02 18:00:00,25.3,1016.1,,68.0,,33.5,,58.0,223.0,1.4.1,24.0
2017-01-02 19:00:00,26.1,1015.6,,64.0,,33.5,,50.1,5.0,0.7.2,24.0
2017-01-02 20:00:00,26.6,1015.8,,61.0,,33.5,,66.0,88.0,1.1.1,24.0
2017-01-02 21:00:00,25.6,1016.5,,67.0,,33.5,,62.0,840.0,1.2,23.9
2017-01-02 22:00:00,25.2,1017.0,,66.0,,33.5,,54.2,9999.0,1.8.1,23.9
2017-01-02 23:00:00,25.1,1017.8,,65.0,,33.5,,31.0,9999.0,1.1.2,23.9
2017-01-03 00:00:00,24.9,1017.9,,65.0,,33.5,,53.0,130.0,1.1,23.8
2017-01-03 01:00:00,24.6,1018.2,,65.0,,33.5,,42.0,110.0,2.1,23.7
2017-01-03 02:00:00,24.4,1018.2,,65.0,,33.6,,45.0,95.0,1.4,23.8
2017-01-03 03:00:00,24.1,1018.0,,65.0,,33.7,,19.0,87.0,0.6,23.8
2017-01-03 04:00:00,23.4,1017.9,,68.0,,33.7,,40.0,89.0,0.4,23.8
2017-01-03 05:00:00,22.8,1017.6,,71.0,,33.7,,61.0,94.0,0.6.1,23.8
2017-01-03 06:00:00,22.6,1017.7,,71.0,,33.7,,67.0,106.0,1.0,23.8
2017-01-03 07:00:00,22.2,1017.6,,72.0,,33.6,,71.0,120.0,0.6.2,23.8
2017-01-03 08:00:00,21.6,1017.4,,73.0,,33.7,,86.0,131.0,0.1,23.8
2017-01-03 09:00:00,21.4,1017.5,,73.0,,33.7,,58.0,137.0,0.9,23.8
2017-01-03 10:00:00,21.4,1017.7,,73.0,,33.6,,47.0,135.0,1.4.1,23.9
2017-01-03 11:00:00,21.6,1018.3,,71.0,,33.6,,64.0,136.0,1.0.1,24.2
2017-01-03 12:00:00,23.1,1018.6,,65.0,,33.6,,13.0,132.0,0.4.1,24.5
2017-01-03 13:00:00,25.9,1018.9,,52.0,,33.0,,209.0,134.0,1.0.2,24.8
2017-01-03 14:00:00,27.4,1018.6,,42.0,,33.0,,57.0,139.0,2.6,24.7
2017-01-03 15:00:00,28.7,1017.9,,40.0,,33.1,,46.0,150.0,1.0.3,24.9
2017-01-03 16:00:00,29.0,1016.8,,39.0,,33.3,,58.1,164.0,2.2,24.7
2017-01-03 17:00:00,29.5,1015.7,,40.0,,33.3,,78.0,178.0,2.0,24.4
2017-01-03 18:00:00,29.5,1014.9,,39.0,,33.4,,66.0,213.0,1.8,24.2
2017-01-03 19:00:00,28.7,1014.6,,44.0,,33.4,,79.0,34.0,2.0.1,24.1
