,AT,BP,DT,HU,RN,SL,VB,WD,WL,WS,WT
2017-05-01 00:00:00,27.9,1011.1,,73.0,,29.7,,113.0,124.0,1.7,27.2
2017-05-01 01:00:00,27.7,1011.4,,73.0,,30.4,,73.0,131.0,0.8,27.1
2017-05-01 02:00:00,27.7,1011.8,,73.0,,31.9,,62.0,133.0,0.8.1,27.1
2017-05-01 03:00:00,27.6,1011.6,,73.0,,32.3,,99.0,144.0,1.5,27.2
2017-05-01 04:00:00,27.6,1011.4,,73.0,,32.6,,98.0,161.0,0.7,27.2
2017-05-01 05:00:00,27.5,1011.0,,75.0,,33.0,,89.0,176.0,1.2,27.2
2017-05-01 06:00:00,27.1,1010.4,,76.0,,31.3,,51.0,193.0,0.6,26.9
2017-05-01 07:00:00,26.8,1010.2,,77.0,,31.2,,54.0,202.0,0.8.2,26.8
2017-05-01 08:00:00,26.8,1010.4,,77.0,,30.8,,54.1,203.0,0.4,26.7
2017-05-01 09:00:00,26.6,1010.8,,79.0,,31.3,,52.0,200.0,1.0,27.0
2017-05-01 10:00:00,26.8,1011.1,,78.0,,31.5,,54.2,186.0,0.5,27.1
2017-05-01 11:00:00,27.8,1012.0,,75.0,,31.6,,61.0,163.0,1.2.1,27.4
2017-05-01 12:00:00,29.0,1012.6,,69.0,,32.1,,106.0,137.0,1.2.2,27.8
2017-05-01 13:00:00,29.6,1012.8,,64.0,,31.9,,130.0,115.0,1.8,28.0
2017-05-01 14:00:00,30.9,1012.6,,63.0,,32.2,,174.0,91.0,3.0,28.2
2017-05-01 15:00:00,31.5,1012.2,,58.0,,32.1,,173.0,70.0,3.8,28.4
2017-05-01 16:00:00,31.7,1011.6,,57.0,,32.1,,171.0,59.0,3.5,28.5
2017-05-01 17:00:00,31.9,1010.6,,54.0,,32.1,,164.0,62.0,3.1,28.4
2017-05-01 18:00:00,32.0,1009.7,,53.0,,32.2,,117.0,206.0,2.2,28.4
2017-05-01 19:00:00,31.8,1009.0,,51.0,,32.8,,153.0,1406.0,2.7,28.2
2017-05-01 20:00:00,31.7,1008.5,,52.0,,32.7,,152.0,59.0,2.5,28.1
2017-05-01 21:00:00,31.0,1008.5,,57.0,,33.7,,153.1,2239.0,2.0,27.9
2017-05-01 22:00:00,29.5,1008.9,,63.0,,33.6,,104.0,9999.0,1.1,27.7
2017-05-01 23:00:00,28.6,1009.5,,69.0,,33.5,,88.0,9999.0,1.2.3,27.6
2017-05-02 00:00:00,28.3,1010.1,,70.0,,31.5,,76.0,121.0,0.7,27.5
2017-05-02 01:00:00,28.2,1010.4,,72.0,,31.2,,55.0,123.0,1.6,27.6
2017-05-02 02:00:00,27.9,1010.9,,73.0,,30.6,,69.0,128.0,0.6,27.4
2017-05-02 03:00:00,27.7,1010.8,,73.0,,31.9,,359.0,137.0,0.6.1,27.4
2017-05-02 04:00:00,27.4,1010.1,,75.0,,32.4,,34.0,146.0,0.4,27.6
2017-05-02 05:00:00,27.2,1009.6,,76.0,,33.0,,356.0,158.0,0.5,27.6
2017-05-02 06:00:00,27.3,1009.5,,76.0,,32.2,,336.0,170.0,0.4.1,27.6
2017-05-02 07:00:00,27.0,1009.3,,77.0,,32.3,,358.0,186.0,0.4.2,27.5
2017-05-02 08:00:00,27.1,1009.7,,77.0,,31.7,,335.0,193.0,0.2,27.4
2017-05-02 09:00:00,27.4,1010.2,,77.0,,31.7,,68.0,196.0,0.6.2,27.7
2017-05-02 10:00:00,27.6,1010.8,,76.0,,31.8,,56.0,193.0,0.7.1,27.7
2017-05-02 11:00:00,28.5,1011.6,,74.0,,32.1,,49.0,180.0,0.7.2,27.9
2017-05-02 12:00:00,30.5,1012.0,,67.0,,32.4,,109.0,158.0,1.8,28.0
2017-05-02 13:00:00,31.1,1012.3,,59.0,,32.3,,144.0,138.0,1.7,28.4
2017-05-02 14:00:00,31.6,1012.0,,59.0,,32.6,,141.0,114.0,2.0,28.4
2017-05-02 15:00:00,32.1,1011.4,,58.0,,32.1,,139.0,93.0,1.8.1,28.5
2017-05-02 16:00:00,32.5,1010.7,,58.0,,32.5,,155.0,75.0,2.3,28.3
2017-05-02 17:00:00,32.3,1009.7,,57.0,,32.0,,154.0,65.0,2.1,28.3
2017-05-02 18:00:00,31.4,1008.8,,61.0,,33.2,,106.0,198.0,2.0.1,28.4
2017-05-02 19:00:00,31.6,1008.0,,62.0,,33.6,,178.0,1445.0,3.3,28.3
2017-05-02 20:00:00,31.7,1007.9,,62.0,,33.9,,174.0,61.0,3.3.1,28.1
2017-05-02 21:00:00,30.6,1008.2,,67.0,,33.8,,149.0,2344.0,2.1.1,28.1
2017-05-02 22:00:00,29.5,1008.7,,72.0,,32.6,,148.0,9999.0,1.7.1,27.9
2017-05-02 23:00:00,29.1,1009.3,,74.0,,33.5,,141.1,9999.0,1.3,27.8
2017-05-03 00:00:00,,1009.6,,74.0,,32.1,,88.0,105.0,1.1,27.7
2017-05-03 01:00:00,,1010.1,,73.0,,33.1,,73.0,110.0,0.9,27.8
2017-05-03 02:00:00,,1010.6,,74.0,,30.3,,67.0,117.0,1.0,27.8
2017-05-03 03:00:00,,1010.8,,74.0,,30.6,,59.0,118.0,0.7,27.9
2017-05-03 04:00:00,,1010.3,,74.0,,31.6,,69.0,127.0,0.6,27.9
2017-05-03 05:00:00,,1009.5,,74.0,,32.2,,78.0,133.0,0.8,27.9
2017-05-03 06:00:00,,1009.1,,74.0,,31.4,,69.1,144.0,0.8.1,28.0
2017-05-03 07:00:00,,1009.1,,75.0,,31.2,,102.0,151.0,1.1.1,27.9
2017-05-03 08:00:00,,1009.2,,77.0,,30.8,,72.0,164.0,1.1.2,27.8
2017-05-03 09:00:00,,1009.6,,76.0,,31.0,,75.0,175.0,1.0.1,28.0
2017-05-03 10:00:00,,1010.5,,77.0,,31.6,,90.0,179.0,1.0.2,28.2
2017-05-03 11:00:00,,1011.1,,75.0,,31.2,,102.1,183.0,1.7,28.8
2017-05-03 12:00:00,,1011.3,,69.0,,31.6,,137.0,174.0,1.9,28.9
2017-05-03 13:00:00,,1011.7,,65.0,,31.9,,130.0,168.0,2.2,28.7
2017-05-03 14:00:00,,1011.6,,63.0,,31.8,,104.0,151.0,2.2.1,29.5
2017-05-03 15:00:00,,1011.0,,59.0,,31.8,,161.0,130.0,2.3,29.2
2017-05-03 16:00:00,,1010.4,,58.0,,32.0,,156.0,113.0,2.5,29.0
2017-05-03 17:00:00,,1009.3,,61.0,,32.1,,164.0,97.0,2.5.1,29.0
2017-05-03 18:00:00,,1008.6,,60.0,,32.3,,148.0,81.0,2.9,28.8
2017-05-03 19:00:00,,1008.2,,60.0,,32.5,,162.0,184.0,3.2,28.6
2017-05-03 20:00:00,,1007.8,,63.0,,33.9,,162.1,1620.0,2.3.1,28.5
2017-05-03 21:00:00,,1008.0,,67.0,,33.9,,163.0,9999.0,2.1,28.3
2017-05-03 22:00:00,,1008.5,,70.0,,33.9,,121.0,9999.0,1.5,28.3
2017-05-03 23:00:00,,1009.1,,73.0,,33.7,,113.0,9999.0,1.5.1,28.1
2017-05-04 00:00:00,29.6,1009.4,,73.0,,33.7,,118.0,115.0,1.4,28.0
2017-05-04 01:00:00,29.5,1009.4,,73.0,,33.7,,105.0,121.0,1.3,28.0
2017-05-04 02:00:00,29.2,1009.9,,75.0,,32.0,,73.0,123.0,0.7,28.0
2017-05-04 03:00:00,29.3,1010.2,,74.0,,30.9,,82.0,124.0,1.1,28.1
