,AT,BP,DT,HU,RN,SL,VB,WD,WL,WS,WT
2017-07-01 00:00:00,29.4,1006.5,,75.0,,23.1,,88.0,129.0,0.8,29.2
2017-07-01 01:00:00,29.3,1007.1,,76.0,,21.0,,59.0,121.0,1.0,29.3
2017-07-01 02:00:00,29.0,1007.7,,77.0,,23.4,,118.0,121.0,0.4,29.5
2017-07-01 03:00:00,29.1,1007.7,,78.0,,22.5,,1.0,121.0,0.4.1,29.3
2017-07-01 04:00:00,29.0,1007.3,,78.0,,28.3,,52.0,125.0,0.7,29.1
2017-07-01 05:00:00,28.9,1006.5,,79.0,,30.7,,127.0,135.0,0.4.2,29.2
2017-07-01 06:00:00,28.8,1005.9,,81.0,,28.5,,97.0,141.0,0.6,29.1
2017-07-01 07:00:00,28.2,1005.7,,78.0,,26.0,,6.0,148.0,0.3,29.1
2017-07-01 08:00:00,27.9,1005.5,,80.0,,29.4,,351.0,150.0,0.7.1,29.2
2017-07-01 09:00:00,27.7,1005.5,,79.0,,29.2,,59.1,147.0,1.3,29.2
2017-07-01 10:00:00,27.8,1006.0,,79.0,,27.1,,41.0,141.0,0.8.1,29.9
2017-07-01 11:00:00,28.4,1006.4,,77.0,,23.9,,48.0,130.0,1.3.1,30.3
2017-07-01 12:00:00,30.7,1006.7,,71.0,,23.3,,67.0,120.0,0.5,30.6
2017-07-01 13:00:00,31.6,1006.9,,67.0,,25.2,,202.0,105.0,2.4,30.9
2017-07-01 14:00:00,31.3,1006.8,,71.0,,24.7,,217.0,100.0,2.6,31.0
2017-07-01 15:00:00,31.0,1006.7,,68.0,,22.0,,203.0,91.0,3.8,31.3
2017-07-01 16:00:00,31.8,1006.2,,69.0,,23.0,,208.0,140.0,4.0,31.3
2017-07-01 17:00:00,31.5,1005.6,,70.0,,25.6,,214.0,610.0,4.5,31.2
2017-07-01 18:00:00,32.1,1005.1,,66.0,,25.3,,219.0,117.0,3.1,31.3
2017-07-01 19:00:00,31.3,1004.2,,68.0,,22.8,,212.0,916.0,2.4.1,31.1
2017-07-01 20:00:00,31.4,1004.2,,69.0,,23.4,,217.1,154.0,1.9,30.8
2017-07-01 21:00:00,30.8,1004.4,,67.0,,23.8,,224.0,1608.0,1.8,30.7
2017-07-01 22:00:00,30.6,1005.0,,69.0,,25.9,,177.0,88.0,1.5,30.3
2017-07-01 23:00:00,30.2,1005.4,,73.0,,23.9,,181.0,2349.0,1.8.1,30.0
2017-07-02 00:00:00,29.9,1006.0,,74.0,,22.8,,171.0,145.0,1.9,29.6
2017-07-02 01:00:00,29.8,1006.3,,71.0,,23.1,,158.0,138.0,1.8,29.5
2017-07-02 02:00:00,29.7,1006.6,,74.0,,20.4,,153.0,130.0,1.1,29.4
2017-07-02 03:00:00,29.8,1006.6,,77.0,,21.4,,182.0,124.0,0.9,29.5
2017-07-02 04:00:00,29.5,1006.2,,78.0,,21.5,,169.0,122.0,1.2,29.3
2017-07-02 05:00:00,29.7,1005.7,,79.0,,19.3,,193.0,115.0,2.0,29.2
2017-07-02 06:00:00,29.5,1004.9,,78.0,,19.1,,178.0,122.0,2.1,29.4
2017-07-02 07:00:00,29.4,1004.7,,80.0,,19.7,,196.0,120.0,2.3,29.4
2017-07-02 08:00:00,29.4,1004.8,,80.0,,20.7,,204.0,128.0,2.0.1,29.4
2017-07-02 09:00:00,28.8,1005.3,,82.0,,27.1,,147.0,131.0,0.4,29.9
2017-07-02 10:00:00,28.8,1005.9,,83.0,,21.2,,165.0,127.0,0.3,30.5
2017-07-02 11:00:00,29.6,1006.0,,80.0,,22.4,,192.0,130.0,0.4.1,31.1
2017-07-02 12:00:00,30.6,1006.3,,77.0,,22.2,,310.0,128.0,1.5,31.7
2017-07-02 13:00:00,31.6,1005.9,,72.0,,22.3,,224.0,119.0,1.5.1,32.1
2017-07-02 14:00:00,31.5,1006.1,,74.0,,20.9,,266.0,111.0,2.6,32.4
2017-07-02 15:00:00,31.8,1005.5,,71.0,,21.4,,211.0,103.0,3.2,32.0
2017-07-02 16:00:00,32.2,1004.8,,65.0,,22.3,,247.0,94.0,4.1,32.0
2017-07-02 17:00:00,32.2,1004.5,,64.0,,22.5,,254.0,149.0,4.6,32.0
2017-07-02 18:00:00,31.4,1004.2,,66.0,,23.1,,266.1,617.0,5.0,31.8
2017-07-02 19:00:00,31.3,1003.8,,68.0,,23.6,,256.0,112.0,4.2,31.1
2017-07-02 20:00:00,31.0,1004.1,,66.0,,24.8,,248.0,1206.0,4.5,31.0
2017-07-02 21:00:00,30.8,1004.5,,66.0,,26.9,,262.0,136.0,4.0,30.8
2017-07-02 22:00:00,30.4,1004.7,,67.0,,26.2,,248.1,1747.0,2.3.1,30.5
2017-07-02 23:00:00,30.0,1005.2,,68.0,,24.3,,273.0,9999.0,1.8.1,30.1
2017-07-03 00:00:00,29.7,1005.6,,68.0,,22.5,,314.0,,1.0,
2017-07-03 01:00:00,29.6,1005.8,,69.0,,20.4,,213.0,,0.2,
2017-07-03 02:00:00,29.3,1006.0,,72.0,,21.1,,217.0,,0.4,
2017-07-03 03:00:00,28.9,1005.9,,71.0,,19.3,,111.0,,0.0,
2017-07-03 04:00:00,29.1,1005.7,,73.0,,23.4,,278.0,,0.2.1,
2017-07-03 05:00:00,29.3,1005.1,,71.0,,23.8,,41.0,,0.0.1,
2017-07-03 06:00:00,29.6,1004.5,,76.0,,23.4,,139.0,,0.9,
2017-07-03 07:00:00,29.5,1004.3,,78.0,,23.8,,164.0,,1.9,
2017-07-03 08:00:00,29.7,1004.3,,77.0,,25.4,,179.0,,1.3,
2017-07-03 09:00:00,29.8,1004.7,,76.0,,25.6,,166.0,,1.1,
2017-07-03 10:00:00,29.8,1005.2,,76.0,,26.1,,158.0,,1.2,
2017-07-03 11:00:00,30.1,1005.8,,76.0,,25.9,,159.0,,1.9.1,
