,AT,BP,DT,HU,RN,SL,VB,WD,WL,WS,WT
2017-04-01 00:00:00,27.3,1013.6,,63.0,,32.0,,11.0,121.0,0.8,26.4
2017-04-01 01:00:00,27.3,1014.2,,61.0,,31.9,,77.0,139.0,1.3,26.3
2017-04-01 02:00:00,27.0,1014.8,,55.0,,32.2,,69.0,153.0,1.1,26.5
2017-04-01 03:00:00,26.0,1015.2,,62.0,,32.2,,65.0,170.0,1.4,26.2
2017-04-01 04:00:00,25.3,1014.6,,64.0,,32.2,,331.0,189.0,0.7,26.0
2017-04-01 05:00:00,24.8,1014.5,,63.0,,32.2,,58.0,195.0,1.7,25.8
2017-04-01 06:00:00,24.5,1014.0,,63.0,,32.1,,39.0,202.0,1.2,25.8
2017-04-01 07:00:00,24.3,1014.1,,63.0,,31.5,,26.0,196.0,0.8.1,25.8
2017-04-01 08:00:00,24.3,1014.5,,61.0,,31.5,,63.0,178.0,1.8,25.6
2017-04-01 09:00:00,24.3,1015.0,,59.0,,30.8,,56.0,155.0,1.4.1,25.6
2017-04-01 10:00:00,23.8,1015.5,,60.0,,30.8,,57.0,136.0,2.5,25.7
2017-04-01 11:00:00,23.4,1016.4,,59.0,,30.9,,53.0,115.0,2.1,25.8
2017-04-01 12:00:00,24.1,1017.2,,57.0,,30.9,,61.0,96.0,1.4.2,25.8
2017-04-01 13:00:00,25.1,1017.4,,54.0,,31.0,,56.1,91.0,2.9,25.7
2017-04-01 14:00:00,26.3,1017.4,,49.0,,31.0,,44.0,94.0,1.7.1,25.7
2017-04-01 15:00:00,26.5,1017.4,,47.0,,31.6,,18.0,100.0,1.6,25.6
2017-04-01 16:00:00,26.5,1016.9,,47.0,,31.2,,20.0,152.0,1.7.2,25.4
2017-04-01 17:00:00,26.2,1016.4,,48.0,,31.6,,3.0,323.0,1.5,25.2
2017-04-01 18:00:00,26.0,1016.0,,48.0,,31.2,,22.0,114.0,0.8.2,25.0
2017-04-01 19:00:00,25.4,1015.6,,51.0,,32.6,,38.0,709.0,1.1.1,24.9
2017-04-01 20:00:00,25.1,1015.4,,54.0,,32.7,,41.0,205.0,1.0,24.7
2017-04-01 21:00:00,24.6,1015.6,,54.0,,32.5,,36.0,1355.0,0.9,24.5
2017-04-01 22:00:00,24.1,1016.1,,55.0,,32.2,,58.1,87.0,1.0.1,24.4
2017-04-01 23:00:00,23.8,1016.8,,58.0,,32.3,,53.1,2115.0,1.7.3,24.3
2017-04-02 00:00:00,23.4,1017.3,,58.0,,32.3,,17.0,139.0,1.0,24.2
2017-04-02 01:00:00,23.1,1017.9,,60.0,,32.1,,346.0,147.0,0.9,24.4
2017-04-02 02:00:00,23.0,1018.3,,60.0,,32.1,,39.0,159.0,1.0.1,24.5
2017-04-02 03:00:00,22.9,1018.4,,60.0,,32.2,,24.0,172.0,0.8,24.4
2017-04-02 04:00:00,23.0,1018.0,,60.0,,32.3,,41.0,189.0,0.8.1,24.4
2017-04-02 05:00:00,22.9,1017.5,,60.0,,32.2,,43.0,207.0,1.2,24.5
2017-04-02 06:00:00,22.8,1017.0,,60.0,,32.5,,46.0,212.0,2.3,24.3
2017-04-02 07:00:00,22.4,1016.8,,61.0,,31.0,,342.0,216.0,0.7,24.2
2017-04-02 08:00:00,21.8,1016.9,,63.0,,31.4,,35.0,203.0,0.9.1,24.0
2017-04-02 09:00:00,21.9,1017.1,,62.0,,31.9,,48.0,188.0,1.6,24.1
2017-04-02 10:00:00,22.1,1017.4,,61.0,,32.4,,37.0,163.0,1.4,24.2
2017-04-02 11:00:00,22.8,1018.0,,57.0,,32.4,,39.1,142.0,1.6.1,24.3
2017-04-02 12:00:00,24.0,1018.6,,51.0,,32.4,,48.1,122.0,2.8,24.5
2017-04-02 13:00:00,24.8,1018.9,,49.0,,32.4,,44.0,105.0,2.6,24.7
2017-04-02 14:00:00,26.9,1018.9,,43.0,,32.4,,36.0,96.0,2.6.1,25.0
2017-04-02 15:00:00,27.5,1018.5,,42.0,,32.4,,55.0,100.0,3.6,25.1
2017-04-02 16:00:00,28.1,1017.8,,40.0,,32.3,,49.0,152.0,3.5,24.8
2017-04-02 17:00:00,28.6,1017.3,,39.0,,32.1,,55.1,341.0,3.3,24.7
