,AT,BP,DT,HU,RN,SL,VB,WD,WL,WS,WT
2017-06-01 00:00:00,29.7,1005.8,,72.0,,33.8,,236.0,127.0,1.6,31.3
2017-06-01 01:00:00,29.6,1006.2,,73.0,,30.6,,235.0,128.0,1.7,30.6
2017-06-01 02:00:00,29.5,1006.8,,75.0,,28.6,,239.0,131.0,1.6.1,30.1
2017-06-01 03:00:00,29.3,1006.9,,76.0,,28.0,,170.0,129.0,2.1,30.1
2017-06-01 04:00:00,29.3,1006.5,,78.0,,26.3,,188.0,131.0,1.8,29.7
2017-06-01 05:00:00,29.4,1006.0,,75.0,,27.8,,191.0,137.0,2.1.1,29.6
2017-06-01 06:00:00,29.6,1005.6,,78.0,,27.6,,192.0,146.0,1.7.1,29.5
2017-06-01 07:00:00,29.3,1005.3,,77.0,,27.8,,175.0,157.0,1.8.1,29.7
2017-06-01 08:00:00,29.5,1005.2,,77.0,,27.9,,180.0,170.0,1.8.2,29.9
2017-06-01 09:00:00,29.4,1005.5,,78.0,,29.0,,184.0,179.0,2.4,30.3
2017-06-01 10:00:00,29.6,1006.1,,79.0,,29.2,,199.0,182.0,2.0,30.8
2017-06-01 11:00:00,30.2,1006.3,,77.0,,29.7,,216.0,179.0,2.0.1,31.3
2017-06-01 12:00:00,31.0,1006.4,,74.0,,30.3,,204.0,173.0,2.9,31.5
2017-06-01 13:00:00,31.4,1006.4,,75.0,,30.7,,206.0,158.0,3.6,31.9
2017-06-01 14:00:00,31.6,1006.1,,75.0,,30.1,,210.0,143.0,3.4,32.6
2017-06-01 15:00:00,31.7,1005.4,,75.0,,30.3,,212.0,123.0,3.2,33.0
2017-06-01 16:00:00,31.8,1004.9,,74.0,,30.4,,207.0,107.0,3.8,33.3
2017-06-01 17:00:00,31.9,1004.3,,72.0,,30.8,,208.0,93.0,4.6,33.0
2017-06-01 18:00:00,32.0,1003.6,,69.0,,31.4,,208.1,80.0,4.7,32.6
2017-06-01 19:00:00,32.4,1003.0,,68.0,,31.3,,209.0,184.0,3.9,32.4
2017-06-01 20:00:00,32.3,1002.8,,68.0,,32.6,,215.0,1510.0,4.2,31.9
2017-06-01 21:00:00,31.6,1002.9,,70.0,,33.1,,213.0,9999.0,3.2.1,31.6
2017-06-01 22:00:00,31.3,1003.5,,70.0,,33.0,,232.0,9999.0,2.2,31.4
2017-06-01 23:00:00,30.6,1003.7,,76.0,,32.9,,207.1,9999.0,2.3,31.2
2017-06-02 00:00:00,30.3,1004.0,,76.0,,32.7,,175.0,126.0,1.4,31.0
2017-06-02 01:00:00,30.2,1004.5,,78.0,,32.5,,174.0,126.0,2.2,30.8
2017-06-02 02:00:00,30.1,1004.9,,79.0,,30.6,,168.0,128.0,1.5,30.7
2017-06-02 03:00:00,29.9,1004.9,,79.0,,30.6,,177.0,128.0,2.3,30.7
2017-06-02 04:00:00,30.2,1004.6,,75.0,,28.5,,197.0,129.0,2.6,30.6
2017-06-02 05:00:00,30.1,1003.9,,79.0,,28.2,,242.0,131.0,1.7,30.5
2017-06-02 06:00:00,30.0,1003.9,,81.0,,27.3,,245.0,136.0,1.5.1,30.3
2017-06-02 07:00:00,30.1,1004.0,,81.0,,28.5,,222.0,144.0,2.4,30.5
2017-06-02 08:00:00,30.1,1004.4,,81.0,,29.4,,232.0,151.0,2.2.1,30.8
2017-06-02 09:00:00,30.1,1004.5,,82.0,,29.8,,217.0,157.0,2.7,31.1
2017-06-02 10:00:00,30.2,1004.7,,81.0,,29.3,,214.0,157.0,1.7.1,31.7
2017-06-02 11:00:00,30.8,1005.2,,78.0,,29.5,,222.1,157.0,1.6,32.1
2017-06-02 12:00:00,32.1,1005.7,,73.0,,29.6,,215.0,154.0,2.4.1,32.5
2017-06-02 13:00:00,32.4,1005.8,,71.0,,29.8,,224.0,146.0,3.4,32.8
2017-06-02 14:00:00,33.1,1005.5,,66.0,,30.1,,252.0,133.0,4.1,32.9
2017-06-02 15:00:00,33.4,1005.0,,61.0,,30.2,,247.0,117.0,5.3,33.1
2017-06-02 16:00:00,33.7,1004.5,,60.0,,30.4,,256.0,102.0,5.8,33.2
