,AT,BP,DT,HU,RN,SL,VB,WD,WL,WS,WT
2017-09-01 00:00:00,29.7,1007.7,,77.0,0.4,26.3,,210.0,187.0,2.0,29.2
2017-09-01 01:00:00,29.6,1008.3,,77.0,0.1,26.8,,202.0,186.0,0.7,29.1
2017-09-01 02:00:00,29.3,1008.3,,77.0,0.5,26.1,,108.0,179.0,0.9,28.7
2017-09-01 03:00:00,29.0,1008.2,,81.0,0.5,29.7,,197.0,172.0,0.5,29.2
2017-09-01 04:00:00,28.7,1007.8,,82.0,,30.3,,256.0,158.0,0.2,29.1
2017-09-01 05:00:00,28.5,1007.4,,80.0,,31.3,,320.0,141.0,0.9.1,29.0
2017-09-01 06:00:00,28.3,1006.8,,80.0,,31.2,,295.0,129.0,0.8,28.9
2017-09-01 07:00:00,28.0,1006.6,,80.0,,32.0,,314.0,114.0,1.6,29.1
2017-09-01 08:00:00,27.7,1006.4,,82.0,,32.5,,307.0,104.0,0.9.2,29.4
2017-09-01 09:00:00,27.9,1006.6,,83.0,,32.6,,306.0,94.0,1.6.1,29.5
2017-09-01 10:00:00,27.8,1006.9,,83.0,,32.6,,302.0,91.0,1.2,29.8
2017-09-01 11:00:00,28.7,1007.6,,78.0,,32.4,,301.0,95.0,1.1,30.2
2017-09-01 12:00:00,30.5,1008.2,,71.0,,31.6,,269.0,104.0,1.7,30.9
2017-09-01 13:00:00,31.0,1008.1,,70.0,,32.0,,276.0,115.0,2.1,31.2
2017-09-01 14:00:00,31.9,1007.7,,64.0,,31.8,,230.0,122.0,2.8,31.7
2017-09-01 15:00:00,31.4,1007.3,,70.0,,31.0,,210.1,123.0,5.3,32.2
2017-09-01 16:00:00,31.3,1006.8,,72.0,,28.2,,208.0,129.0,5.9,31.4
2017-09-01 17:00:00,31.6,1006.1,,71.0,,26.8,,209.0,130.0,6.0,30.8
2017-09-01 18:00:00,31.4,1005.4,,74.0,,25.5,,211.0,190.0,5.5,30.4
2017-09-01 19:00:00,31.2,1004.9,,74.0,,26.1,,221.0,626.0,3.0,30.6
2017-09-01 20:00:00,30.5,1004.6,,76.0,,25.4,,227.0,91.0,2.8.1,30.3
2017-09-01 21:00:00,30.2,1004.4,,78.0,,25.5,,251.0,1548.0,1.5,30.2
2017-09-01 22:00:00,30.0,1004.6,,78.0,,24.3,,236.0,9999.0,1.6.2,29.9
2017-09-01 23:00:00,29.9,1005.5,,80.0,,25.5,,265.0,9999.0,1.7.1,29.9
2017-09-02 00:00:00,29.7,1006.1,,81.0,1.1,25.1,,230.0,182.0,0.7,29.8
2017-09-02 01:00:00,29.1,1006.5,,84.0,10.9,26.5,,186.0,189.0,0.4,29.7
2017-09-02 02:00:00,28.8,1007.0,,83.0,0.6,25.9,,154.0,186.0,0.3,29.5
2017-09-02 03:00:00,29.1,1007.0,,84.0,0.4,26.9,,190.0,182.0,0.9,29.5
2017-09-02 04:00:00,28.7,1006.2,,82.0,13.0,30.1,,19.0,166.0,0.8,29.8
2017-09-02 05:00:00,28.9,1005.8,,83.0,13.0,31.8,,301.0,152.0,0.2,29.6
2017-09-02 06:00:00,28.4,1005.1,,82.0,,31.0,,42.0,136.0,0.4.1,29.4
2017-09-02 07:00:00,28.3,1004.7,,83.0,,31.6,,62.0,123.0,1.0,29.4
2017-09-02 08:00:00,28.2,1004.9,,88.0,,32.0,,57.0,106.0,0.9.1,29.3
2017-09-02 09:00:00,27.3,1005.3,,86.0,,31.9,,28.0,94.0,1.0.1,29.4
2017-09-02 10:00:00,26.7,1005.9,,86.0,,31.9,,337.0,90.0,0.6,29.6
2017-09-02 11:00:00,28.0,1006.7,,82.0,,31.9,,47.0,92.0,0.5,29.9
2017-09-02 12:00:00,31.0,1006.9,,70.0,,31.9,,100.0,100.0,0.3.1,30.7
2017-09-02 13:00:00,31.9,1007.2,,69.0,,31.9,,303.0,107.0,0.9.2,31.6
2017-09-02 14:00:00,31.7,1006.8,,69.0,,31.8,,214.0,117.0,2.5,32.2
2017-09-02 15:00:00,32.2,1006.2,,68.0,,31.2,,252.0,125.0,2.7,32.7
2017-09-02 16:00:00,32.5,1005.4,,65.0,,31.4,,249.0,131.0,4.2,32.9
2017-09-02 17:00:00,32.2,1004.6,,66.0,,31.2,,250.0,133.0,4.3,32.5
2017-09-02 18:00:00,32.4,1003.8,,65.0,,29.9,,227.0,191.0,4.1,31.8
2017-09-02 19:00:00,32.4,1003.2,,64.0,,27.4,,230.1,714.0,3.3,30.9
2017-09-02 20:00:00,31.6,1002.9,,69.0,,26.8,,216.0,88.0,3.6,30.7
2017-09-02 21:00:00,31.4,1003.1,,67.0,,26.6,,237.0,1624.0,3.5,30.6
2017-09-02 22:00:00,30.5,1003.7,,73.0,,27.0,,220.0,9999.0,2.6,30.6
2017-09-02 23:00:00,30.2,1004.3,,74.0,,26.9,,229.0,9999.0,1.7,30.3
2017-09-03 00:00:00,30.1,1005.0,,76.0,4.0,26.8,,257.0,185.0,1.6,30.2
2017-09-03 01:00:00,30.0,1005.7,,75.0,4.0,26.2,,266.0,194.0,1.5,29.8
2017-09-03 02:00:00,29.8,1006.1,,77.0,4.0,26.4,,309.0,197.0,1.6.1,29.9
2017-09-03 03:00:00,29.5,1006.1,,75.0,,28.2,,301.0,193.0,1.1,29.9
2017-09-03 04:00:00,29.3,1005.7,,74.0,,29.4,,316.0,187.0,1.8,30.0
2017-09-03 05:00:00,29.0,1005.4,,76.0,,30.9,,169.0,172.0,0.9,30.1
2017-09-03 06:00:00,28.7,1004.9,,81.0,,31.3,,337.0,157.0,0.3,30.0
2017-09-03 07:00:00,28.5,1004.9,,77.0,,31.9,,37.0,134.0,0.5,29.9
2017-09-03 08:00:00,28.3,1004.8,,77.0,,32.1,,47.0,118.0,0.9.1,29.5
2017-09-03 09:00:00,28.4,1005.4,,78.0,,32.3,,54.0,103.0,0.8,29.3
2017-09-03 10:00:00,28.3,1006.0,,78.0,,32.1,,47.1,93.0,1.5.1,29.2
2017-09-03 11:00:00,29.3,1006.6,,73.0,,32.2,,355.0,89.0,0.4,29.1
2017-09-03 12:00:00,30.9,1007.3,,72.0,,32.3,,281.0,95.0,0.2,29.4
2017-09-03 13:00:00,30.3,1007.9,,80.0,,32.0,,194.0,101.0,0.2.1,29.9
2017-09-03 14:00:00,31.2,1007.8,,76.0,,31.2,,303.0,112.0,0.8.1,31.0
2017-09-03 15:00:00,31.9,1007.2,,65.0,,31.4,,224.0,124.0,1.7,31.2
2017-09-03 16:00:00,32.5,1006.7,,65.0,,31.6,,215.0,130.0,2.2,31.5
2017-09-03 17:00:00,33.5,1005.6,,59.0,,31.6,,190.0,136.0,3.1,31.5
2017-09-03 18:00:00,33.7,1005.0,,60.0,,31.6,,179.0,199.0,3.2,31.1
2017-09-03 19:00:00,33.8,1004.5,,61.0,,30.1,,105.0,756.0,2.1,30.6
2017-09-03 20:00:00,33.4,1004.5,,64.0,,28.8,,154.0,85.0,1.4,30.3
2017-09-03 21:00:00,32.1,1005.0,,68.0,,27.9,,138.0,1639.0,1.5.2,30.1
2017-09-03 22:00:00,31.0,1005.3,,75.0,,28.2,,154.1,9999.0,1.8.1,30.2
2017-09-03 23:00:00,30.6,1005.8,,77.0,,28.0,,162.0,9999.0,1.5.3,30.1
2017-09-04 00:00:00,30.5,1006.4,,78.0,,29.2,,161.0,178.0,1.2,30.2
2017-09-04 01:00:00,30.2,1006.9,,78.0,,29.4,,55.0,190.0,0.9,30.1
2017-09-04 02:00:00,30.0,1007.2,,79.0,,28.6,,79.0,199.0,1.0,29.7
2017-09-04 03:00:00,29.9,1007.3,,79.0,,29.0,,97.0,201.0,1.0.1,29.8
2017-09-04 04:00:00,29.7,1006.8,,80.0,,28.7,,54.0,195.0,1.4,29.5
2017-09-04 05:00:00,29.4,1006.5,,80.0,,29.4,,37.0,183.0,0.5,29.5
2017-09-04 06:00:00,29.2,1006.4,,80.0,,29.9,,83.0,171.0,0.6,29.4
2017-09-04 07:00:00,29.3,1006.2,,80.0,,31.0,,101.0,151.0,0.8,29.5
2017-09-04 08:00:00,29.5,1006.4,,80.0,,31.5,,161.1,129.0,1.1,29.4
2017-09-04 09:00:00,29.5,1006.5,,79.0,,32.0,,145.0,111.0,1.7,29.4
2017-09-04 10:00:00,29.3,1006.7,,79.0,,32.1,,40.0,96.0,0.8.1,29.6
2017-09-04 11:00:00,29.9,1007.2,,77.0,,31.8,,50.0,91.0,1.1.1,29.8
2017-09-04 12:00:00,31.4,1007.6,,71.0,,31.8,,172.0,85.0,2.2,29.6
2017-09-04 13:00:00,32.7,1008.1,,64.0,,31.8,,195.0,92.0,1.6,30.1
2017-09-04 14:00:00,33.1,1008.0,,60.0,,31.8,,178.0,101.0,2.0,30.8
2017-09-04 15:00:00,31.7,1007.6,,68.0,,31.9,,222.0,113.0,2.3,31.3
2017-09-04 16:00:00,32.8,1006.9,,64.0,,31.4,,220.0,122.0,2.7,31.9
2017-09-04 17:00:00,32.1,1006.0,,67.0,,31.6,,219.0,129.0,4.1,31.9
2017-09-04 18:00:00,32.9,1005.3,,64.0,,31.8,,218.0,203.0,3.6,31.6
2017-09-04 19:00:00,32.0,1004.7,,67.0,,30.4,,217.0,838.0,3.0,30.8
2017-09-04 20:00:00,33.4,1004.8,,62.0,,28.9,,192.0,84.0,1.8,30.3
2017-09-04 21:00:00,32.0,1004.6,,70.0,,29.4,,149.0,1747.0,1.5,30.3
2017-09-04 22:00:00,31.1,1005.4,,75.0,,28.4,,164.0,9999.0,1.8.1,30.1
2017-09-04 23:00:00,30.7,1006.3,,77.0,,28.6,,149.1,9999.0,1.5.1,30.0
2017-09-05 00:00:00,30.4,1007.1,,78.0,,28.4,,96.0,177.0,1.3,
2017-09-05 01:00:00,30.4,1008.1,,79.0,,29.1,,155.0,185.0,1.6,
2017-09-05 02:00:00,30.3,1008.6,,80.0,,29.2,,164.0,187.0,1.9,
2017-09-05 03:00:00,30.2,1008.0,,80.0,,28.7,,153.0,182.0,1.5,
2017-09-05 04:00:00,30.2,1007.1,,80.0,,30.0,,113.0,164.0,2.0,
2017-09-05 05:00:00,30.0,1007.0,,80.0,,30.2,,108.0,146.0,1.3.1,
