,AT,BP,DT,HU,RN,SL,VB,WD,WL,WS,WT
2017-08-01 00:00:00,30.2,1002.5,,76.0,0.3,18.0,,249.0,145.0,1.0,29.8
2017-08-01 01:00:00,29.9,1002.9,,77.0,0.3,18.5,,246.0,147.0,1.1,29.8
2017-08-01 02:00:00,30.2,1002.8,,77.0,0.3,16.4,,267.0,134.0,1.1.1,29.7
2017-08-01 03:00:00,30.0,1002.7,,77.0,,14.1,,243.0,124.0,1.7,29.6
2017-08-01 04:00:00,29.9,1002.3,,78.0,,18.0,,247.0,111.0,1.8,29.4
2017-08-01 05:00:00,29.9,1002.2,,79.0,,19.2,,263.0,111.0,2.5,29.2
2017-08-01 06:00:00,29.8,1001.8,,79.0,,21.4,,261.0,104.0,2.8,29.2
2017-08-01 07:00:00,29.7,1001.4,,80.0,,22.3,,262.0,104.0,2.1,29.1
2017-08-01 08:00:00,29.7,1001.6,,81.0,,19.3,,275.0,99.0,2.0,29.0
2017-08-01 09:00:00,29.6,1002.0,,80.0,,18.9,,241.0,110.0,1.2,29.3
2017-08-01 10:00:00,29.6,1002.5,,79.0,,20.8,,220.0,103.0,1.9,29.8
2017-08-01 11:00:00,30.2,1002.8,,78.0,,21.3,,214.0,112.0,2.8.1,30.4
2017-08-01 12:00:00,31.1,1003.5,,74.0,,21.6,,214.1,108.0,3.8,31.0
2017-08-01 13:00:00,31.7,1003.9,,70.0,,21.3,,259.0,106.0,2.7,32.0
2017-08-01 14:00:00,32.2,1003.9,,68.0,,21.6,,253.0,103.0,3.4,32.3
2017-08-01 15:00:00,32.1,1003.8,,68.0,,22.4,,254.0,102.0,4.8,32.2
2017-08-01 16:00:00,32.4,1002.9,,68.0,,22.6,,247.1,170.0,5.0,32.2
2017-08-01 17:00:00,32.3,1002.4,,68.0,,20.5,,265.0,618.0,6.6,32.0
2017-08-01 18:00:00,32.0,1002.1,,67.0,,19.8,,265.1,97.0,8.1,31.6
2017-08-01 19:00:00,32.4,1001.2,,66.0,,19.7,,252.0,1528.0,5.0.1,31.2
2017-08-01 20:00:00,32.0,1000.9,,66.0,,20.4,,247.2,115.0,5.8,30.9
2017-08-01 21:00:00,31.3,1001.6,,69.0,,20.6,,256.0,1931.0,4.7,30.6
2017-08-01 22:00:00,30.6,1001.7,,73.0,,19.6,,264.0,97.0,4.5,30.3
2017-08-01 23:00:00,30.4,1002.6,,75.0,,19.9,,268.0,2233.0,4.3,30.2
2017-08-02 00:00:00,30.2,1003.5,,74.0,0.1,21.8,,277.0,162.0,3.3,30.0
2017-08-02 01:00:00,30.3,1004.4,,74.0,0.1,19.3,,281.0,163.0,2.6,29.8
2017-08-02 02:00:00,30.1,1004.8,,74.0,0.1,18.7,,262.0,158.0,1.6,29.7
2017-08-02 03:00:00,29.8,1004.6,,75.0,,20.2,,275.0,151.0,1.1,29.7
2017-08-02 04:00:00,29.7,1004.0,,76.0,,20.1,,273.0,140.0,1.4,29.7
2017-08-02 05:00:00,29.5,1003.7,,75.0,,20.4,,318.0,127.0,1.7,29.7
2017-08-02 06:00:00,29.8,1003.3,,72.0,,19.5,,318.1,117.0,1.9,29.6
2017-08-02 07:00:00,30.4,1003.2,,73.0,,20.9,,261.0,106.0,3.2,29.5
2017-08-02 08:00:00,30.3,1002.7,,73.0,,23.0,,231.0,94.0,2.8,29.6
2017-08-02 09:00:00,30.0,1003.0,,76.0,,24.9,,240.0,87.0,1.5,29.6
2017-08-02 10:00:00,30.0,1003.0,,81.0,,24.7,,258.0,91.0,1.9.1,30.0
2017-08-02 11:00:00,30.1,1003.5,,79.0,,24.1,,216.0,91.0,1.6.1,30.7
2017-08-02 12:00:00,30.9,1003.8,,77.0,,24.1,,274.0,96.0,2.0,31.3
2017-08-02 13:00:00,31.8,1004.0,,74.0,,24.6,,274.1,101.0,2.0.1,32.0
2017-08-02 14:00:00,32.3,1003.8,,67.0,,25.3,,268.0,99.0,2.8.1,32.2
2017-08-02 15:00:00,32.8,1003.1,,64.0,,25.8,,255.0,107.0,3.6,32.2
2017-08-02 16:00:00,32.7,1002.7,,62.0,,22.5,,248.0,104.0,4.5,32.3
2017-08-02 17:00:00,32.6,1002.0,,61.0,,20.9,,246.0,99.0,5.2,32.2
2017-08-02 18:00:00,32.4,1001.5,,61.0,,19.2,,246.1,167.0,5.2.1,31.8
2017-08-02 19:00:00,32.4,1000.6,,62.0,,18.2,,239.0,618.0,4.7,31.4
2017-08-02 20:00:00,32.1,1000.4,,65.0,,20.7,,229.0,86.0,3.0,31.4
2017-08-02 21:00:00,31.2,1000.5,,69.0,,19.1,,245.0,1516.0,2.7,30.9
2017-08-02 22:00:00,30.8,1001.1,,69.0,,20.7,,235.0,9999.0,2.0.2,30.9
2017-08-02 23:00:00,30.7,1002.0,,71.0,,21.5,,275.1,9999.0,1.0,30.8
2017-08-03 00:00:00,30.4,1002.2,,71.0,0.2,22.0,,286.0,165.0,0.6,30.6
2017-08-03 01:00:00,30.5,1002.9,,72.0,0.2,20.4,,193.0,176.0,0.3,30.4
2017-08-03 02:00:00,30.7,1002.8,,69.0,0.2,19.7,,210.0,175.0,0.9,30.2
2017-08-03 03:00:00,30.7,1002.8,,71.0,,20.4,,157.0,169.0,2.1,30.2
2017-08-03 04:00:00,30.4,1002.3,,74.0,,21.5,,207.0,161.0,2.6,30.1
2017-08-03 05:00:00,30.2,1001.9,,77.0,,23.6,,197.0,140.0,2.1.1,29.9
2017-08-03 06:00:00,30.2,1001.4,,81.0,,25.0,,205.0,128.0,2.2,29.8
2017-08-03 07:00:00,30.2,1001.0,,78.0,,27.2,,218.0,115.0,1.5,29.8
2017-08-03 08:00:00,29.9,1000.8,,78.0,,27.0,,268.0,101.0,0.2,29.7
2017-08-03 09:00:00,29.5,1000.8,,80.0,,29.6,,233.0,89.0,0.3.1,29.9
2017-08-03 10:00:00,29.4,1001.1,,82.0,,24.1,,317.0,85.0,0.4,30.7
2017-08-03 11:00:00,30.3,1001.3,,76.0,,26.4,,304.0,87.0,0.7,31.3
2017-08-03 12:00:00,32.1,1001.6,,67.0,,24.1,,301.0,86.0,1.0,32.2
2017-08-03 13:00:00,32.6,1001.9,,67.0,,26.1,,201.0,93.0,2.4,32.5
2017-08-03 14:00:00,32.3,1002.2,,67.0,,26.1,,265.0,98.0,3.5,32.9
2017-08-03 15:00:00,32.5,1002.0,,65.0,,27.5,,251.0,104.0,4.2,32.8
2017-08-03 16:00:00,32.7,1001.5,,63.0,,27.6,,247.0,104.0,4.1,33.0
2017-08-03 17:00:00,33.1,1000.8,,61.0,,23.7,,248.0,107.0,4.4,32.1
2017-08-03 18:00:00,32.5,999.9,,64.0,,21.5,,247.1,180.0,3.9,31.6
2017-08-03 19:00:00,32.0,999.7,,63.0,,21.4,,248.1,713.0,3.9.1,31.3
2017-08-03 20:00:00,31.5,999.5,,66.0,,21.2,,253.0,81.0,2.0,31.2
2017-08-03 21:00:00,31.3,999.8,,67.0,,21.4,,290.0,1611.0,2.1.2,31.0
2017-08-03 22:00:00,30.8,999.7,,70.0,,21.1,,262.0,9999.0,2.2.1,30.9
2017-08-03 23:00:00,30.4,1000.0,,71.0,,22.4,,293.0,9999.0,1.7,30.7
2017-08-04 00:00:00,30.4,1000.7,,69.0,,23.3,,248.0,172.0,1.0,30.7
2017-08-04 01:00:00,30.0,1001.4,,71.0,,23.4,,177.0,178.0,0.9,30.5
2017-08-04 02:00:00,30.1,1002.0,,74.0,,21.4,,175.0,184.0,0.9.1,30.4
2017-08-04 03:00:00,30.0,1002.0,,75.0,,23.9,,187.0,183.0,0.6,30.4
2017-08-04 04:00:00,30.1,1001.3,,76.0,,24.3,,208.0,171.0,0.9.2,30.2
2017-08-04 05:00:00,30.1,1000.6,,77.0,,27.7,,147.0,156.0,0.5,30.2
2017-08-04 06:00:00,29.9,1000.2,,74.0,,29.0,,31.0,141.0,0.6.1,30.2
2017-08-04 07:00:00,30.0,999.9,,76.0,,30.9,,55.0,123.0,0.9.3,30.2
2017-08-04 08:00:00,29.7,999.8,,75.0,,31.3,,56.0,108.0,1.2,30.2
2017-08-04 09:00:00,29.5,1000.0,,74.0,,31.7,,344.0,95.0,0.4,30.2
2017-08-04 10:00:00,29.6,1000.4,,70.0,,31.9,,63.0,83.0,0.4.1,30.1
2017-08-04 11:00:00,30.4,1000.8,,69.0,,31.3,,29.0,73.0,0.3,30.6
2017-08-04 12:00:00,32.5,1001.6,,62.0,,31.1,,197.0,78.0,1.2.1,31.4
2017-08-04 13:00:00,32.3,1002.2,,64.0,,31.5,,271.0,86.0,1.9,31.2
2017-08-04 14:00:00,32.5,1002.2,,63.0,,31.5,,255.0,90.0,3.6,31.5
2017-08-04 15:00:00,32.7,1002.3,,63.0,,30.5,,249.0,96.0,3.7,31.5
2017-08-04 16:00:00,32.0,1001.9,,68.0,,26.4,,255.1,104.0,3.1,31.0
2017-08-04 17:00:00,32.5,1000.9,,64.0,,26.6,,250.0,109.0,4.1,30.9
2017-08-04 18:00:00,31.3,1000.8,,68.0,,25.7,,243.0,185.0,3.5,30.7
2017-08-04 19:00:00,30.9,1000.5,,70.0,,23.2,,262.0,758.0,2.9,30.4
2017-08-04 20:00:00,30.7,1000.7,,70.0,,22.9,,250.1,73.0,3.1.1,30.3
2017-08-04 21:00:00,30.5,1000.8,,70.0,,22.6,,264.0,1702.0,2.5,30.2
2017-08-04 22:00:00,30.1,1000.8,,73.0,,25.4,,257.0,9999.0,1.6,30.4
2017-08-04 23:00:00,29.9,1001.4,,74.0,,24.2,,248.1,9999.0,1.2.2,30.1
2017-08-05 00:00:00,29.8,1002.0,,71.0,0.1,24.2,,310.0,164.0,1.5,30.2
2017-08-05 01:00:00,29.7,1002.8,,74.0,0.1,24.2,,192.0,178.0,0.5,30.1
2017-08-05 02:00:00,29.6,1003.0,,72.0,0.1,24.6,,136.0,184.0,1.0,29.8
2017-08-05 03:00:00,29.5,1003.2,,73.0,,25.4,,172.0,186.0,0.9,29.9
2017-08-05 04:00:00,29.3,1003.0,,74.0,,26.8,,22.0,181.0,0.7,29.8
2017-08-05 05:00:00,29.1,1002.7,,73.0,,27.8,,4.0,167.0,0.2,29.8
2017-08-05 06:00:00,29.2,1002.4,,74.0,,28.9,,40.0,149.0,0.5.1,29.7
2017-08-05 07:00:00,29.1,1002.3,,74.0,,30.4,,42.0,130.0,0.4,29.8
2017-08-05 08:00:00,29.0,1002.6,,75.0,,30.7,,337.0,113.0,0.3,29.7
2017-08-05 09:00:00,28.9,1002.7,,77.0,,31.5,,342.0,97.0,0.2.1,29.6
2017-08-05 10:00:00,29.2,1003.4,,76.0,,31.5,,355.0,77.0,0.4.1,29.7
2017-08-05 11:00:00,30.1,1003.9,,74.0,,31.5,,354.0,73.0,0.5.2,29.8
2017-08-05 12:00:00,32.6,1004.4,,62.0,,31.4,,100.0,72.0,1.3,30.0
2017-08-05 13:00:00,33.4,1004.8,,60.0,,31.3,,105.0,76.0,1.4,30.8
2017-08-05 14:00:00,34.5,1004.8,,54.0,,31.2,,172.1,80.0,2.1,31.1
2017-08-05 15:00:00,33.9,1004.6,,57.0,,31.2,,218.0,88.0,2.4,31.2
2017-08-05 16:00:00,33.5,1004.1,,62.0,,31.0,,220.0,98.0,2.7,31.6
2017-08-05 17:00:00,32.8,1003.7,,60.0,,26.3,,212.0,102.0,2.3,31.4
2017-08-05 18:00:00,32.8,1003.3,,60.0,,25.5,,214.0,187.0,2.0,32.0
2017-08-05 19:00:00,33.0,1003.0,,60.0,,24.4,,250.0,827.0,2.8,31.2
2017-08-05 20:00:00,32.4,1003.0,,68.0,,24.8,,262.0,67.0,2.7.1,30.9
2017-08-05 21:00:00,33.1,1003.3,,64.0,,25.4,,271.0,1726.0,1.7,30.8
2017-08-05 22:00:00,32.0,1004.1,,65.0,,25.5,,272.0,9999.0,1.6,30.7
2017-08-05 23:00:00,30.5,1005.6,,73.0,,26.0,,117.0,9999.0,1.6.1,30.5
2017-08-06 00:00:00,29.4,1006.2,,76.0,0.2,25.9,,126.0,151.0,0.6,30.2
2017-08-06 01:00:00,29.4,1006.7,,70.0,0.3,25.6,,13.0,167.0,0.5,29.9
2017-08-06 02:00:00,29.2,1006.9,,74.0,0.2,26.2,,42.0,179.0,0.5.1,29.9
2017-08-06 03:00:00,29.0,1006.9,,74.0,0.3,25.6,,17.0,186.0,0.8,29.5
2017-08-06 04:00:00,28.8,1006.6,,73.0,0.5,26.2,,49.0,181.0,0.5.2,29.3
2017-08-06 05:00:00,28.7,1006.6,,78.0,,27.8,,173.0,177.0,0.4,29.2
2017-08-06 06:00:00,28.5,1006.1,,78.0,,28.2,,305.0,160.0,0.5.3,29.2
2017-08-06 07:00:00,28.1,1005.9,,76.0,,29.8,,49.1,140.0,0.5.4,29.3
2017-08-06 08:00:00,27.9,1006.4,,73.0,,30.6,,52.0,121.0,0.8.1,29.5
2017-08-06 09:00:00,28.0,1006.4,,75.0,,30.8,,30.0,98.0,0.5.5,29.8
2017-08-06 10:00:00,28.1,1006.7,,76.0,,30.9,,43.0,82.0,1.4,30.1
2017-08-06 11:00:00,29.0,1007.4,,70.0,,30.9,,332.0,66.0,0.6.1,30.3
2017-08-06 12:00:00,32.2,1007.7,,60.0,,30.6,,342.0,65.0,0.7,30.9
2017-08-06 13:00:00,32.3,1008.0,,62.0,,30.6,,268.0,69.0,2.1,31.6
2017-08-06 14:00:00,32.5,1007.8,,66.0,,30.4,,213.0,72.0,3.7,31.9
2017-08-06 15:00:00,32.3,1007.5,,69.0,,30.3,,200.0,82.0,2.8,32.4
2017-08-06 16:00:00,32.4,1007.2,,68.0,,30.2,,209.0,99.0,3.8,32.6
2017-08-06 17:00:00,33.2,1006.6,,60.0,,29.8,,209.1,108.0,2.8.1,32.9
2017-08-06 18:00:00,33.3,1006.1,,61.0,,27.6,,206.0,188.0,2.9,31.6
2017-08-06 19:00:00,32.9,1005.7,,59.0,,24.6,,209.2,924.0,4.3,30.8
2017-08-06 20:00:00,32.9,1005.2,,58.0,,23.8,,247.0,63.0,3.9,30.5
2017-08-06 21:00:00,31.6,1005.0,,66.0,,22.8,,259.0,1817.0,3.3,30.3
2017-08-06 22:00:00,31.0,1005.8,,69.0,,22.4,,272.0,9999.0,2.5,30.2
2017-08-06 23:00:00,30.5,1006.5,,73.0,,22.5,,274.0,9999.0,2.1.1,30.2
2017-08-07 00:00:00,30.2,1007.0,,74.0,11.7,22.7,,265.0,140.0,1.0,30.0
2017-08-07 01:00:00,30.0,1007.3,,75.0,0.8,21.4,,248.0,162.0,1.0.1,29.6
2017-08-07 02:00:00,29.9,1007.7,,76.0,0.1,23.7,,304.0,167.0,1.4,30.0
2017-08-07 03:00:00,29.5,1007.6,,77.0,0.1,23.2,,308.0,185.0,1.2,29.9
2017-08-07 04:00:00,29.4,1007.5,,77.0,11.7,23.7,,275.0,190.0,0.2,29.9
2017-08-07 05:00:00,29.3,1007.4,,76.0,1.0,24.2,,303.0,186.0,1.1,29.8
2017-08-07 06:00:00,29.1,1007.1,,74.0,12.7,27.3,,313.0,174.0,0.8,30.0
2017-08-07 07:00:00,29.1,1007.0,,74.0,,28.9,,308.1,158.0,0.8.1,30.1
2017-08-07 08:00:00,29.0,1007.1,,73.0,,29.7,,55.0,130.0,0.3,30.0
2017-08-07 09:00:00,29.1,1007.3,,74.0,,30.3,,18.0,107.0,0.3.1,30.0
2017-08-07 10:00:00,29.4,1007.4,,74.0,,30.5,,236.0,88.0,0.4,30.1
2017-08-07 11:00:00,25.4,1008.8,,83.0,,30.6,,222.0,69.0,2.5,29.9
2017-08-07 12:00:00,26.0,1008.5,,84.0,,30.8,,52.0,62.0,1.6,29.6
2017-08-07 13:00:00,26.9,1009.5,,82.0,,30.9,,64.0,62.0,1.2.1,29.4
2017-08-07 14:00:00,27.8,1009.7,,80.0,,30.8,,111.0,68.0,0.7,29.4
2017-08-07 15:00:00,28.5,1009.0,,80.0,,30.5,,175.0,78.0,0.5,29.9
2017-08-07 16:00:00,28.9,1008.2,,77.0,,30.3,,199.0,87.0,0.2.1,30.4
2017-08-07 17:00:00,29.6,1007.0,,76.0,,30.0,,257.0,99.0,1.1.1,30.6
2017-08-07 18:00:00,30.2,1006.5,,74.0,,27.1,,210.0,192.0,1.5,30.2
2017-08-07 19:00:00,30.9,1006.0,,72.0,,24.8,,267.0,939.0,1.9,29.9
2017-08-07 20:00:00,30.4,1005.5,,69.0,,23.6,,264.0,59.0,2.2,29.6
2017-08-07 21:00:00,30.3,1005.6,,71.0,,23.3,,215.0,1840.0,2.1,29.4
2017-08-07 22:00:00,29.9,1006.4,,72.0,,23.8,,254.0,9999.0,1.9.1,29.4
2017-08-07 23:00:00,29.3,1007.1,,74.0,,24.3,,252.0,9999.0,1.4.1,29.4
2017-08-08 00:00:00,29.1,1007.5,,76.0,,24.6,,238.0,129.0,1.1,29.3
2017-08-08 01:00:00,29.0,1008.2,,78.0,,23.0,,275.0,148.0,1.2,29.0
2017-08-08 02:00:00,28.3,1008.8,,80.0,,25.3,,318.0,162.0,0.3,29.2
2017-08-08 03:00:00,28.0,1008.6,,81.0,,23.6,,166.0,178.0,0.0,28.6
2017-08-08 04:00:00,27.9,1008.2,,79.0,,24.5,,15.0,188.0,0.4,28.9
2017-08-08 05:00:00,27.7,1007.8,,78.0,,25.0,,20.0,186.0,0.5,29.0
2017-08-08 06:00:00,27.6,1007.6,,76.0,,24.2,,35.0,182.0,0.5.1,28.8
2017-08-08 07:00:00,27.4,1007.5,,78.0,,26.2,,67.0,168.0,0.8,29.0
2017-08-08 08:00:00,27.5,1007.2,,78.0,,28.2,,55.0,143.0,0.6,29.1
2017-08-08 09:00:00,27.5,1007.4,,80.0,,28.4,,62.0,120.0,0.9,29.2
2017-08-08 10:00:00,27.7,1007.9,,81.0,,29.4,,42.0,96.0,0.5.2,29.6
2017-08-08 11:00:00,28.9,1008.1,,79.0,,30.0,,306.0,79.0,0.1,30.2
2017-08-08 12:00:00,31.0,1008.4,,73.0,,30.4,,253.0,67.0,0.9.1,30.5
2017-08-08 13:00:00,31.6,1008.5,,72.0,,30.6,,266.0,61.0,1.2.1,30.8
2017-08-08 14:00:00,32.1,1008.4,,70.0,,30.4,,217.0,62.0,2.5,31.2
2017-08-08 15:00:00,31.8,1008.1,,73.0,,30.9,,220.0,71.0,2.7,31.6
2017-08-08 16:00:00,31.9,1007.4,,74.0,,30.9,,212.0,85.0,4.0,31.8
2017-08-08 17:00:00,32.5,1007.2,,67.0,,30.8,,202.0,95.0,3.9,31.9
2017-08-08 18:00:00,32.2,1006.5,,71.0,,28.4,,210.0,190.0,4.3,31.1
2017-08-08 19:00:00,32.1,1006.1,,70.0,,26.3,,211.0,1039.0,5.7,30.4
2017-08-08 20:00:00,32.0,1005.7,,70.0,,28.2,,217.1,56.0,3.8,30.1
2017-08-08 21:00:00,32.1,1005.5,,67.0,,27.3,,265.0,1931.0,3.0,29.8
2017-08-08 22:00:00,31.1,1006.1,,68.0,,26.4,,238.1,9999.0,2.2,29.8
2017-08-08 23:00:00,30.4,1006.6,,71.0,,26.2,,214.0,9999.0,1.8,29.8
2017-08-09 00:00:00,29.9,1007.0,,74.0,,26.1,,247.0,146.0,0.5,29.8
2017-08-09 01:00:00,29.5,1007.8,,72.0,,27.6,,248.0,166.0,0.3,29.8
2017-08-09 02:00:00,29.5,1008.1,,77.0,,26.2,,196.0,178.0,0.1,29.6
2017-08-09 03:00:00,29.7,1008.1,,77.0,,26.1,,156.0,184.0,0.9,29.7
2017-08-09 04:00:00,29.9,1007.7,,80.0,,25.3,,161.0,184.0,2.1,29.7
2017-08-09 05:00:00,29.9,1007.2,,79.0,,26.8,,169.0,176.0,1.7,29.7
2017-08-09 06:00:00,29.8,1006.6,,81.0,,27.7,,231.0,157.0,1.4,29.7
